Course ID,Title,Short Intro,Category,Sub-Category,Course Type,Language,Skills,Instructors,Rating,Number of viewers,Site,Subtitle_language_count,Duration in hours,count of column,,
22,AI Foundations for Everyone Specialization,,Data Science,Data Analysis,Specialization,English,"DataScience,DeepLearning,ArtificialIntelligence(AI),MachineLearning,Watson(Computer),Jobs,ApplicationProgrammingInterfaces(API),watson,","Rav Ahuja ,Antonio Cangiano ,",4.7,2218,Coursera,10,180,8,,
23,Finance & Quantitative Modeling for Analysts Specialization,,Business,Finance,Specialization,English,"FinancialModeling,CorporateFinance,MicrosoftExcel,Modeling,LinearRegression,ProbabilisticModels,RegressionAnalysis,MonteCarloMethod,LinearProgramming(LP),Solver,DiscountedCashFlow,Decision-Making,","Richard Waterman ,Don Huesman ,Richard Lambert ,Christopher D. Ittner ,Michael R Roberts ,",4.5,2412,Coursera,11,240,12,,
24,Machine Learning Engineering for Production (MLOps) Specialization,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Data Science,Machine Learning,Specialization,English,"ManagingMachineLearningProductionSystems,DeploymentPipelines,ModelPipelines,DataPipelines,MachineLearningEngineeringforProduction,Human-levelPerformance(HLP),ConceptDrift,Modelbaseline,ProjectScopingandDesign,MLDeploymentChallenges,MLMetadata,ConvolutionalNeuralNetwork,","Andrew Ng ,Cristian Bartolomé Arámburu ,Robert Crowe ,Laurence Moroney ,",4.7,2780,Coursera,2,240,12,,
25,Business and Financial Modeling Specialization,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business,Business Essentials,Specialization,English,"FinancialModeling,MicrosoftExcel,Simulation,LinearProgramming(LP),Modeling,LinearRegression,ProbabilisticModels,RegressionAnalysis,MonteCarloMethod,Solver,Risk,CashFlow,","Richard Waterman ,Don Huesman ,Sergei Savin ,Senthil Veeraraghavan ,Richard Lambert ,Robert W. Holthausen ,",4.5,7555,Coursera,10,360,12,,
26,Business Analytics Specialization,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Science,Data Analysis,Specialization,English,"CustomerAnalytics,Analytics,BusinessAnalytics,DecisionTree,PredictiveAnalytics,RegressionAnalysis,MarketingPerformanceMeasurementAndManagement,Simulation,MathematicalOptimization,Solver,TalentManagement,PerformanceManagement,","Eric Bradlow ,Peter Fader ,Raghu Iyengar ,Ron Berman ,Senthil Veeraraghavan ,Sergei Savin ,Noah Gans ,Cade Massey ,Martine Haas ,Matthew Bidwell ,Brian J Bushee ,Christopher D. Ittner ,Wharton Teaching Staff ,",4.6,15725,Coursera,12,360,12,,
27,Excel Skills for Business Specialization,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Business,Business Essentials,Specialization,English,"DataValidation,MicrosoftExcel,MicrosoftExcelMacro,PivotTable,Graphs,Spreadsheet,Chart,Concatenation,Consolization,PivotChart,LookupTable,MicrosoftExcelVba,","Nicky Bull ,Dr Prashan S. M. Karunaratne ,Professor Yvonne Breyer ,",4.9,42571,Coursera,10,360,12,,
28,Learn SQL Basics for Data Science Specialization,,Data Science,Data Analysis,Specialization,English,"DataAnalysis,ApacheSpark,DeltaLake,SQL,DataScience,Sqlite,A/BTesting,QueryString,PredictiveAnalytics,PresentationSkills,creatingmetrics,ExploratoryDataAnalysis,","Sadie St. Lawrence ,Katrina Glaeser Poole ,Brooke Wenig ,Conor Murphy ,Don Noxon ,",4.5,8649,Coursera,9,240,12,,
29,The Materiality of ESG Factors Specialization,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,Business,Finance,Specialization,English,"ESG,Investment,ClimateChange,Finance,socialactivism,","Witold Henisz ,Christopher Geczy ,Sarah Light ,Mary-Hunter McDonnell ,",4.7,643,Coursera,1,240,5,,
30,AI For Business Specialization,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",Business,Leadership and Management,Specialization,English,"ArtificialIntelligence(AI),MachineLearning,Management,Analytics,FraudPrevention,","Kartik Hosanagar ,Prasanna Tambe ,Michael R Roberts ,Raghu Iyengar ,Matthew Bidwell ,Peter Cappelli ,Lynn Wu ,Kevin Werbach ,",4.7,169,Coursera,1,240,5,,
31,Digital Product Management Specialization,Implement a modern approach to product management. Master the fundamentals that create great teams and products,Computer Science,Design and Product,Specialization,English,"hypothesis-drivendevelopment,ProductManagement,DesignThinking,agile,LeanStartup,Product/MarketFit,InnovationPipeline,agileuserstories,UserExperienceDesign(UXD),AgileSoftwareDevelopment,SoftwareDevelopment,UsabilityTesting,","Alex Cowan ,",4.8,2681,Coursera,10,300,12,,
